POSTI_ALUE,NIMI,KUNTA
100,Helsinki Keskusta - Etu-Töölö,91
120,Punavuori,91
130,Kaartinkaupunki,91
140,Kaivopuisto - Ullanlinna,91
150,Eira - Hernesaari,91
160,Katajanokka,91
170,Kruununhaka,91
180,Kamppi - Ruoholahti,91
190,Suomenlinna,91
200,Lauttasaari,91
210,Vattuniemi,91
220,Jätkäsaari,91
230,Ilmala,91
240,Länsi-Pasila,91
250,Taka-Töölö,91
260,Keski-Töölö,91
270,Pohjois-Meilahti,91
280,Ruskeasuo,91
290,Meilahden sairaala-alue,91
300,Pikku Huopalahti,91
310,Kivihaka,91
320,Etelä-Haaga,91
330,Munkkiniemi,91
340,Kuusisaari-Lehtisaari,91
350,Munkkivuori-Niemenmäki,91
360,Pajamäki,91
370,Reimarla,91
380,Pitäjänmäen teollisuusalue,91
390,Konala,91
400,Pohjois-Haaga,91
410,Malminkartano,91
420,Kannelmäki,91
430,Maununneva,91
440,Lassila,91
500,Sörnäinen,91
510,Etu-Vallila - Alppila,91
520,Itä-Pasila,91
530,Kallio,91
540,Kalasatama,91
550,Vallila,91
560,Toukola-Vanhakaupunki,91
570,Kulosaari,91
580,Verkkosaari,91
590,Kaitalahti,91
600,Koskela-Helsinki,91
610,Käpylä,91
620,Metsälä-Etelä-Oulunkylä,91
630,Maunula-Suursuo,91
640,Oulunkylä-Patola,91
650,Veräjämäki,91
660,Länsi-Pakila,91
670,Paloheinä,91
680,Itä-Pakila,91
690,Tuomarinkylä-Torpparinmäki,91
700,Malmi,91
710,Pihlajamäki,91
720,Pukinmäki-Savela,91
730,Tapanila,91
740,Siltamäki,91
750,Puistola,91
760,Suurmetsä,91
770,Jakomäki - Alppikylä,91
780,Tapaninvainio,91
790,Viikki,91
800,Länsi-Herttoniemi,91
810,Herttoniemi,91
820,Roihuvuori,91
830,Tammisalo,91
840,Laajasalo,91
,,
850,Jollas,91
,,
860,Santahamina,91
870,Etelä-Laajasalo,91
880,Roihupellon teollisuusalue,91
890,Itäsalmi,91
900,Puotinharju,91
910,Puotila,91
920,Myllypuro,91
930,Itäkeskus-Marjaniemi,91
940,Kontula - Vesala,91
950,Vartioharju,91
960,Pohjois-Vuosaari,91
970,Mellunmäki,91
,,
980,Etelä-Vuosaari,91
990,Aurinkolahti,91
,,
,,
,,
,,
1120,Västerskog,753
,,
1150,Söderkulla,753
,,
,,
,,
,,
1180,Kalkkiranta,638
1190,Box,753
1200,Hakunila,92
1230,Vaarala,92
1260,Itä-Hakkila,92
1280,Länsimäki,92
1300,Tikkurila,92
1340,Leinelä,92
1350,Hiekkaharju,92
1360,Koivukylä-Havukoski,92
1370,Jokiniemi,92
1380,Kuusikko-Hakkila,92
1390,Ruskeasanta-Ilola,92
1400,Rekola,92
1420,Päiväkumpu,92
1450,Korso,92
1480,Mikkola,92
1490,Nikinmäki,753
1510,Kirkonkylä-Veromäki,92
1520,Tammisto,92
1530,Veromiehenkylä,92
1600,Myyrmäki,92
1610,Kaivoksela,92
1620,Martinlaakso,92
1630,Hämeenkylä,92
1640,Hämevaara,92
1650,Vapaala,92
1660,Varisto,92
1670,Vantaanlaakso,92
1680,Askisto,92
1690,Ylästö,92
1700,Kivistö,92
1710,Pähkinärinne,92
1720,Petikko,92
1730,Vantaanpuisto,92
1740,Tuupakan teollisuusalue,92
1750,Keimola,92
1760,Seutula,92
1770,Martinlaakson teollisuusalue,92
1800,Klaukkala Keskus,543
1810,Luhtajoki,543
1820,Haikala,543
1830,Lepsämä,543
1840,Klaukkala,543
1860,Perttula,543
1900,Nurmijärvi Keskus,543
1940,Palojoki,543
2100,Tapiola,49
2110,Otsolahti,49
2120,Länsikorkee-Suvikumpu,49
2130,Pohjois-Tapiola,49
2140,Laajalahti,49
2150,Otaniemi,49
2160,Westend,49
2170,Haukilahti,49
2180,Mankkaa,49
2200,Niittykumpu,49
2210,Olari,49
,,
2230,Matinkylä,49
2240,Friisilä,49
2260,Kaitaa,49
2270,Finnoo-Eestinmalmi,49
2280,Malminmäki-Eestinlaakso,49
2290,Puolarmetsän sairaala,49
2300,Nöykkiönpuro,49
2320,Espoonlahti,49
2330,Saunalahti-Kattilalaakso,49
2340,Latokaski,49
2360,Soukka,49
,,
,,
,,
2380,Suvisaaristo,49
2400,Kirkkonummi Keskus,257
2410,Gesterby,257
,,
,,
2420,Jorvas,257
2430,Masala,257
2440,Luoma,257
2450,Sundsberg,257
2460,Kantvik,257
2470,Upinniemi,257
,,
,,
,,
,,
,,
,,
