,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
0,ei tiedossa,1968,tyydyttävä,410.00,Kaksio,30100,410 €/kk,50 m²,kerrostalo
1,ei sallittu,1974,hyvä,729,Yksiö,15500,486 €/kk,36 m²,kerrostalo
2,ei sallittu,2016,hyvä,1510,Kaksio,40100,755 €/kk,"47,5 m²",kerrostalo
3,ei tiedossa,2007,hyvä,1990.00,3 huonetta,03400,995 €/kk,"75,6 m²",rivitalo
4,ei sallittu,2007,hyvä,noin yhden kuukauden vuokra,Yksiö,40900,"353,84 €/kk","25,5 m²",rivitalo
5,ei sallittu,2004,hyvä,250,3 huonetta,40320,785 €/kk,66 m²,luhtitalo
6,ei sallittu,2017,hyvä,"0,5kk vuokran suuruinen",Kaksio,90420,640 €/kk,"49,5 m²",kerrostalo
7,ei sallittu,2018,ei luokiteltu,1186.00,3 huonetta,02200,1 186 €/kk,"60,5 m²",kerrostalo
8,ei sallittu,2018,ei luokiteltu,861.00,Yksiö,02200,861 €/kk,"39,5 m²",kerrostalo
9,ei sallittu,2018,ei luokiteltu,929.00,Kaksio,02200,929 €/kk,46 m²,kerrostalo
10,ei sallittu,2016,ei luokiteltu,970.00,3 huonetta,70100,970 €/kk,60 m²,kerrostalo
11,ei sallittu,1910,ei luokiteltu,525.00,Yksiö,90100,525 €/kk,30 m²,kerrostalo
12,ei sallittu,2018,ei luokiteltu,1174.00,3 huonetta,02200,1 174 €/kk,"60,5 m²",kerrostalo
13,ei sallittu,2018,ei luokiteltu,929.00,Kaksio,02200,929 €/kk,46 m²,kerrostalo
14,ei sallittu,2018,ei luokiteltu,919.00,Kaksio,02200,919 €/kk,"45,5 m²",kerrostalo
15,ei sallittu,2018,ei luokiteltu,861.00,Yksiö,02200,861 €/kk,"39,5 m²",kerrostalo
16,ei sallittu,2015,ei luokiteltu,795.00,Kaksio,70840,795 €/kk,"53,5 m²",kerrostalo
17,ei sallittu,2018,ei luokiteltu,919.00,Kaksio,02200,919 €/kk,"45,5 m²",kerrostalo
18,ei sallittu,2017,hyvä,"1kk, yrityksiltä 3kk",Yksiö,04410,690 €/kk,"31,5 m²",kerrostalo
19,ei sallittu,2014,hyvä,1kk tai 350 € väh. vuoden sopimus,Kaksio,04320,809 €/kk,"49,5 m²",kerrostalo
20,ei tiedossa,1959,hyvä,520.00,Kaksio,96400,520 €/kk,46 m²,kerrostalo
21,ei tiedossa,1964,hyvä,400.00,Kaksio,76100,400 €/kk,55 m²,kerrostalo
22,ei tiedossa,2015,hyvä,670.00,Kaksio,96300,670 €/kk,42 m²,kerrostalo
23,ei tiedossa,1930,tyydyttävä,1240.00,Kaksio,33230,620 €/kk,"55,8 m²",kerrostalo
24,ei tiedossa,2012,hyvä,1580.00,Kaksio,00390,790 €/kk,"38,5 m²",kerrostalo
25,ei tiedossa,1928,hyvä,1000.00,Yksiö,20250,500 €/kk,"26,5 m²",kerrostalo
26,ei sallittu,1928,hyvä,300.00,Yksiö,26100,"231,35 €/kk",20 m²,kerrostalo
27,ei sallittu,1947,hyvä,450.00,Kaksio,37600,450 €/kk,35 m²,kerrostalo
28,ei sallittu,1947,hyvä,1160.00,Kaksio,28100,580 €/kk,62 m²,kerrostalo
29,ei sallittu,1966,hyvä,1200.00,4 huonetta,28360,600 €/kk,"78,7 m²",kerrostalo
30,ei sallittu,1968,hyvä,kahden kuukauden vuokra,Kaksio,33840,605 €/kk,"53,5 m²",kerrostalo
