,allow_pets,built_year,condition,deposit,number_of_rooms,postal_code,rent,total_size,type
0,ei sallittu,1930,hyvä,1380 €,Yksiö,33500,690 €/kk,"43,7 m²",kerrostalo
1,ei sallittu,1957,hyvä,1200,Yksiö,01230,600 €/kk,"26,6 m²",kerrostalo
2,ei tiedossa,1939,hyvä,1800 euroa,Kaksio,00150,990 €/kk,"38,8 m²",kerrostalo
3,ei sallittu,1960,hyvä,1 kk:n vuokra,4 huonetta,62200,680 €/kk,120 m²,omakotitalo
4,ei sallittu,1971,hyvä,kuukauden vuokra,Kaksio,40740,640 €/kk,46 m²,kerrostalo
5,ei sallittu,2017,hyvä,2 kk vuokra,Yksiö,33870,520 €/kk,23 m²,kerrostalo
6,ei sallittu,1975,hyvä,800€,Kaksio,20360,620 €/kk,62 m²,kerrostalo
7,ei sallittu,2018,hyvä,949,3 huonetta,02250,949 €/kk,53 m²,kerrostalo
8,ei sallittu,2017,hyvä,643,Yksiö,02250,643 €/kk,25 m²,kerrostalo
9,ei sallittu,2017,hyvä,1270,Yksiö,02250,1 270 €/kk,"73,5 m²",kerrostalo
10,ei sallittu,2017,hyvä,705,Yksiö,02250,705 €/kk,34 m²,kerrostalo
11,ei sallittu,1976,hyvä,1260,3 huonetta,94830,630 €/kk,"76,5 m²",rivitalo
12,ei sallittu,2017,hyvä,910,Kaksio,02250,910 €/kk,"48,5 m²",kerrostalo
13,ei sallittu,2016,hyvä,1940,Kaksio,20520,970 €/kk,57 m²,kerrostalo
14,ei tiedossa,1911,hyvä,1560.00,Yksiö,00500,780 €/kk,"31,2 m²",kerrostalo
15,ei sallittu,1975,hyvä,2 kk vakuus,Yksiö,20720,430 €/kk,27 m²,kerrostalo
16,ei sallittu,2008,hyvä,"1900 e, vastaa 2:n kuukauden vuokraa",Kaksio,02620,950 €/kk,52 m²,kerrostalo
17,ei sallittu,2017,hyvä,1220,Yksiö,33540,610 €/kk,30 m²,kerrostalo
18,ei sallittu,2012,hyvä,2 kk vuokra,Kaksio,33100,820 €/kk,51 m²,kerrostalo
19,ei sallittu,1961,hyvä,1590 €,Kaksio,33210,795 €/kk,55 m²,kerrostalo
20,ei tiedossa,1984,tyydyttävä,1590 €,Yksiö,01530,1 164 €/kk,15 m²,kerrostalo
