"X","allow_pets","built_year","condition","deposit","number_of_rooms","postal_code","rent","renter","total_size","type"
4,"ei sallittu",2011,"hyvä","250 €","Yksiö",790,"750 €/kk","Lumo-kotikeskus PKS","34 m²","kerrostalo"
15,"ei tiedossa",1999,"hyvä","2900.00","5 +",940,"1 450 €/kk","Vuokraturva Oy LKV [A]","103 m²","rivitalo"
16,"ei tiedossa",1949,"hyvä","1590.00","Kaksio",280,"795 €/kk","Vuokraturva Oy LKV [A]","42 m²","kerrostalo"
17,"ei tiedossa",2017,"ei luokiteltu","2100.00","Kaksio",380,"1 050 €/kk","Vuokraturva Oy LKV [A]","42,5 m²","kerrostalo"
23,"ei sallittu",1975,"hyvä","1kk pankkitalletus sekä 1-2 henkilön omavelkainen","Kaksio",2140,"879 €/kk","SATO Vuokraus / Helsinki","60,5 m²","kerrostalo"
24,"ei sallittu",2000,"hyvä","1kk pankkitalletus sekä 1-2 henkilön omavelkainen","3 huonetta",1510,"1 034 €/kk","SATO Vuokraus / Helsinki","61 m²","kerrostalo"
29,"ei sallittu",2016,"hyvä","0","Kaksio",850,"846 €/kk","Kiinteistö Oy M2-Kodit","56,5 m²","kerrostalo"
30,"ei sallittu",2016,"hyvä","0","Kaksio",1350,"719 €/kk","Kiinteistö Oy M2-Kodit","44,5 m²","kerrostalo"
31,"ei sallittu",2016,"hyvä","0","3 huonetta",730,"1 089 €/kk","Kiinteistö Oy M2-Kodit","79 m²","kerrostalo"
53,"ei sallittu",2014,"hyvä","250 €","Yksiö",1510,"842 €/kk","SATO Vuokraus / Helsinki","37,5 m²","kerrostalo"
54,"ei sallittu",2014,"hyvä","250 €","Kaksio",2100,"1 085 €/kk","SATO Vuokraus / Helsinki","50,5 m²","kerrostalo"
55,"ei sallittu",2001,"hyvä","250 €","Kaksio",1510,"893,24 €/kk","SATO Vuokraus / Helsinki","54 m²","kerrostalo"
56,"ei sallittu",1970,"hyvä","250 €","Yksiö",1620,"699 €/kk","SATO Vuokraus / Helsinki","34 m²","kerrostalo"
57,"ei sallittu",1963,"hyvä","250 €","Kaksio",710,"948 €/kk","SATO Vuokraus / Helsinki","60 m²","kerrostalo"
58,"ei sallittu",1963,"hyvä","250 €","Kaksio",710,"948 €/kk","SATO Vuokraus / Helsinki","60 m²","kerrostalo"
