KUNTA,NIMI,NAMN
5,Alaj«œrvi,Alaj«œrvi
9,Alavieska,Alavieska
10,Alavus,Alavus
16,Asikkala,Asikkala
18,Askola,Askola
19,Aura,Aura
20,Akaa,Akaa
35,Br«œnd«Ù,Br«œnd«Ù
43,Ecker«Ù,Ecker«Ù
46,Enonkoski,Enonkoski
47,Enonteki«Ù,Enontekis
49,Espoo,Esbo
50,Eura,Eura
51,Eurajoki,Eura«æminne
52,Evij«œrvi,Evij«œrvi
60,Finstr«Ùm,Finstr«Ùm
61,Forssa,Forssa
62,F«Ùgl«Ù,F«Ùgl«Ù
65,Geta,Geta
69,Haapaj«œrvi,Haapaj«œrvi
71,Haapavesi,Haapavesi
72,Hailuoto,Karl«Ù
74,Halsua,Halsua
75,Hamina,Fredrikshamn
76,Hammarland,Hammarland
77,Hankasalmi,Hankasalmi
78,Hanko,Hang«Ù
79,Harjavalta,Harjavalta
81,Hartola,Hartola
82,Hattula,Hattula
86,Hausj«œrvi,Hausj«œrvi
90,Hein«œvesi,Hein«œvesi
91,Helsinki,Helsingfors
92,Vantaa,Vanda
97,Hirvensalmi,Hirvensalmi
98,Hollola,Hollola
99,Honkajoki,Honkajoki
102,Huittinen,Huittinen
103,Humppila,Humppila
105,Hyrynsalmi,Hyrynsalmi
106,Hyvink«œ«œ,Hyvinge
108,H«œmeenkyr«Ù,Tavastkyro
109,H«œmeenlinna,Tavastehus
111,Heinola,Heinola
139,Ii,Ii
140,Iisalmi,Idensalmi
142,Iitti,Iitti
143,Ikaalinen,Ikalis
145,Ilmajoki,Ilmajoki
146,Ilomantsi,Ilomants
148,Inari,Enare
149,Inkoo,Ing«æ
151,Isojoki,Stor«æ
152,Isokyr«Ù,Storkyro
153,Imatra,Imatra
165,Janakkala,Janakkala
167,Joensuu,Joensuu
169,Jokioinen,Jockis
170,Jomala,Jomala
171,Joroinen,Jorois
172,Joutsa,Joutsa
174,Juankoski,Juankoski
176,Juuka,Juuka
177,Juupajoki,Juupajoki
178,Juva,Juva
179,Jyv«œskyl«œ,Jyv«œskyl«œ
181,J«œmij«œrvi,J«œmij«œrvi
182,J«œms«œ,J«œms«œ
186,J«œrvenp«œ«œ,Tr«œsk«œnda
202,Kaarina,S:t Karins
204,Kaavi,Kaavi
205,Kajaani,Kajana
208,Kalajoki,Kalajoki
211,Kangasala,Kangasala
213,Kangasniemi,Kangasniemi
214,Kankaanp«œ«œ,Kankaanp«œ«œ
216,Kannonkoski,Kannonkoski
217,Kannus,Kannus
218,Karijoki,B«Ùtom
224,Karkkila,H«Ùgfors
226,Karstula,Karstula
230,Karvia,Karvia
231,Kaskinen,Kask«Ù
232,Kauhajoki,Kauhajoki
233,Kauhava,Kauhava
235,Kauniainen,Grankulla
236,Kaustinen,Kaustby
239,Keitele,Keitele
240,Kemi,Kemi
241,Keminmaa,Keminmaa
244,Kempele,Kempele
245,Kerava,Kervo
249,Keuruu,Keuruu
250,Kihni«Ù,Kihni«Ù
256,Kinnula,Kinnula
257,Kirkkonummi,Kyrksl«œtt
260,Kitee,Kitee
261,Kittil«œ,Kittil«œ
263,Kiuruvesi,Kiuruvesi
265,Kivij«œrvi,Kivij«œrvi
271,Kokem«œki,Kumo
272,Kokkola,Karleby
273,Kolari,Kolari
275,Konnevesi,Konnevesi
276,Kontiolahti,Kontiolahti
280,Korsn«œs,Korsn«œs
284,Koski Tl,Koski Tl
285,Kotka,Kotka
286,Kouvola,Kouvola
287,Kristiinankaupunki,Kristinestad
288,Kruunupyy,Kronoby
290,Kuhmo,Kuhmo
291,Kuhmoinen,Kuhmoinen
295,Kumlinge,Kumlinge
297,Kuopio,Kuopio
300,Kuortane,Kuortane
301,Kurikka,Kurikka
304,Kustavi,Gustavs
305,Kuusamo,Kuusamo
309,Outokumpu,Outokumpu
312,Kyyj«œrvi,Kyyj«œrvi
316,K«œrk«Ùl«œ,K«œrk«Ùl«œ
317,K«œrs«œm«œki,K«œrs«œm«œki
318,K«Ùkar,K«Ùkar
320,Kemij«œrvi,Kemij«œrvi
322,Kemi«Ùnsaari,Kimito«Ùn
398,Lahti,Lahtis
399,Laihia,Laihela
400,Laitila,Laitila
402,Lapinlahti,Lapinlahti
403,Lappaj«œrvi,Lappaj«œrvi
405,Lappeenranta,Villmanstrand
407,Lapinj«œrvi,Lapptr«œsk
408,Lapua,Lappo
410,Laukaa,Laukaa
416,Lemi,Lemi
417,Lemland,Lemland
418,Lemp«œ«œl«œ,Lemp«œ«œl«œ
420,Lepp«œvirta,Lepp«œvirta
421,Lestij«œrvi,Lestij«œrvi
422,Lieksa,Lieksa
423,Lieto,Lundo
425,Liminka,Limingo
426,Liperi,Liperi
430,Loimaa,Loimaa
433,Loppi,Loppi
434,Loviisa,Lovisa
435,Luhanka,Luhanka
436,Lumijoki,Lumijoki
438,Lumparland,Lumparland
440,Luoto,Larsmo
