POSTI_ALUE,NIMI,NAMN,EUREF_X,EUREF_Y,PINTA_ALA,KUNTA,HE_VAKIY
00100,Helsinki Keskusta - Etu-Töölö,Helsingfors centrum - Främre Tölö,385405,6672382,2353278,091,17868
00120,Punavuori,Rödbergen,385614,6671378,414010,091,7026
00130,Kaartinkaupunki,Gardesstaden,386300,6671493,428960,091,1536
00140,Kaivopuisto - Ullanlinna,Brunnsparken - Ulrikasborg,384548,6656951,931841,091,7817
00150,Eira - Hernesaari,Eira - Ärtholmen,384986,6669021,1367328,091,9299
00160,Katajanokka,Skatudden,387730,6671500,541136,091,4470
00170,Kruununhaka,Kronohagen,386797,6672462,713343,091,7391
00180,Kamppi - Ruoholahti,Kampen - Gräsviken,384313,6671571,1735293,091,13157
00190,Suomenlinna,Sveaborg,387936,6669117,765012,091,792
00200,Lauttasaari,Drumsö,381393,6670883,2619434,091,14921
00210,Vattuniemi,Hallonnäs,381544,6667311,1478221,091,7697
00220,Jätkäsaari,Busholmen,384390,6670576,684781,091,2918
00230,Ilmala,Ilmala,384730,6677127,171851,091,0
00240,Länsi-Pasila,Västra Böle,384919,6676059,2352593,091,5138
00250,Taka-Töölö,Bortre Tölö,383100,6673856,3060834,091,11079
00260,Keski-Töölö,Mellersta Tölö,385065,6673251,751805,091,5422
00270,Pohjois-Meilahti,Norra Mejlans,383758,6674930,864732,091,7644
00280,Ruskeasuo,Brunakärr,383955,6675745,787425,091,3000
00290,Meilahden sairaala-alue,Mejlans sjukhusområde,383910,6674307,268739,091,161
00300,Pikku Huopalahti,Lillhoplax,383195,6675942,851105,091,5857
00310,Kivihaka,Stenhagen,384036,6676722,657213,091,896
00320,Etelä-Haaga,Södra Haga,383409,6677407,1942280,091,9726
00330,Munkkiniemi,Munksnäs,381803,6675320,1726680,091,8864
00340,Kuusisaari-Lehtisaari,Granö-Lövö,381339,6673521,1008214,091,1654
00350,Munkkivuori-Niemenmäki,Munkshöjden-Näshöjden,381844,6676458,2148284,091,9315
00360,Pajamäki,Smedjebacka,381245,6677484,539398,091,1875
00370,Reimarla,Reimars,381032,6678211,3188974,091,6672
00380,Pitäjänmäen teollisuusalue,Sockenbacka industriområde,382111,6677479,1324069,091,4356
00390,Konala,Kånala,380759,6680135,3232854,091,6214
00400,Pohjois-Haaga,Norra Haga,383646,6678555,1764452,091,9450
00410,Malminkartano,Malmgård,381444,6681036,1941784,091,8693
00420,Kannelmäki,Gamlas,382617,6680395,2937878,091,13869
00430,Maununneva,Magnuskärr,383711,6681530,4772714,091,4884
00440,Lassila,Lassas,382574,6679013,950305,091,4513
00500,Sörnäinen,Sörnäs,386932,6673991,584540,091,12618
00510,Etu-Vallila - Alppila,Främre Vallgård - Alphyddan,386210,6674491,1066747,091,8978
00520,Itä-Pasila,Östra Böle,385787,6675359,1302377,091,6973
00530,Kallio,Berghäll,386334,6673386,1588140,091,18663
00540,Kalasatama,Fiskhamnen,387707,6673439,683207,091,2132
00550,Vallila,Vallgård,386939,6675139,962817,091,9368
00560,Toukola-Vanhakaupunki,Majstad-Gammelstad,388373,6676637,3884319,091,13187
00570,Kulosaari,Brändö,389019,6673210,1796540,091,3824
00580,Verkkosaari,Nätholmen,388035,6674727,1292602,091,2721
00590,Kaitalahti,Hålvik,389955,6671677,1821381,091,380
00600,Koskela-Helsinki,Forsby-Helsingfors,387178,6677577,949209,091,4120
00610,Käpylä,Kottby,386306,6676787,2173242,091,8201
00620,Metsälä-Etelä-Oulunkylä,Krämertsskog-Södra Åggelby,385490,6677741,2244049,091,3226
00630,Maunula-Suursuo,Månsas-Storkärr,385100,6678943,2513374,091,8299
00640,Oulunkylä-Patola,Åggelby-Dammen,387194,6679152,2259873,091,8049
00650,Veräjämäki,Grindbacka,387962,6678506,1631932,091,4345
00660,Länsi-Pakila,Västra Baggböle,385356,6680111,2559655,091,6696
00670,Paloheinä,Svedängen,385316,6681518,3040959,091,6015
00680,Itä-Pakila,Östra Baggböle,387015,6680610,2257775,091,3640
00690,Tuomarinkylä-Torpparinmäki,Domarby-Torparbacken,386572,6682666,4620529,091,2778
00700,Malmi,Malm,390789,6680665,6479126,091,13176
00710,Pihlajamäki,Rönnbacka,389420,6679099,2823097,091,12480
00720,Pukinmäki-Savela,Bocksbacka-Lerstrand,388585,6680320,2088327,091,8554
00730,Tapanila,Mosabacka,390646,6682592,3623273,091,11305
00740,Siltamäki,Brobacka,389151,6683735,3565185,091,10201
00750,Puistola,Parkstad,391122,6684179,3031850,091,9208
00760,Suurmetsä,Storskog,392776,6683130,3363242,091,7718
00770,Jakomäki - Alppikylä,Jakobacka - Alpbyn,393001,6681490,3546000,091,6638
00780,Tapaninvainio,Staffansslätten,388578,6681817,2282750,091,7032
00790,Viikki,Vik,390683,6678122,3725157,091,10839
00800,Länsi-Herttoniemi,Västra Hertonäs,390937,6676431,3047913,091,7212
00810,Herttoniemi,Hertonäs,390394,6674705,2446289,091,11469
00820,Roihuvuori,Kasberget,392411,6675275,1295254,091,7248
00830,Tammisalo,Tammelund,393184,6673837,1599520,091,2255
00840,Laajasalo,Degerö,392006,6672719,3013995,091,8290
00850,Jollas,Jollas,395827,6669230,4156916,091,3119
00860,Santahamina,Sandhamn,398833,6655506,6393082,091,425
00870,Etelä-Laajasalo,Södra Degerö,391376,6671202,1407889,091,4854
00880,Roihupellon teollisuusalue,Kasåkerns industriområde,391892,6675787,1596428,091,723
00890,Itäsalmi,Östersundom,400265,6681726,27345953,091,2056
00900,Puotinharju,Botbyhöjden,393609,6676850,1169003,091,4135
00910,Puotila,Botby gård,394845,6676440,1118992,091,6231
00920,Myllypuro,Kvarnbäcken,392788,6677787,3573373,091,12149
00930,Itäkeskus-Marjaniemi,Östra centrum-Marudd,393829,6675554,2034415,091,6794
00940,Kontula - Vesala,Gårdsbacka - Ärvings,393444,6679510,5733170,091,25817
00950,Vartioharju,Botbyåsen,395199,6677770,3135342,091,5629
00960,Pohjois-Vuosaari,Norra  Nordsjö,397123,6677669,2504021,091,7234
00970,Mellunmäki,Mellungsbacka,396193,6679087,3453709,091,10633
00980,Etelä-Vuosaari,Södra Nordsjö,397650,6672596,10710384,091,22601
00990,Aurinkolahti,Solvik,399016,6674565,2565419,091,8006
01200,Hakunila,Håkansböle,397350,6683971,19485593,092,12029
01230,Vaarala,Fagersta,395072,6682179,3365938,092,2964
01260,Itä-Hakkila,Östra Haxböle,396290,6686463,8390811,092,4791
01280,Länsimäki,Västerkulla,395334,6680590,3500238,092,9472
01300,Tikkurila,Dickursby,390823,6685892,6007207,092,18450
01340,Leinelä,Lejle,391763,6689187,150157,092,612
01350,Hiekkaharju,Sandkulla,391484,6687582,2811048,092,9904
01360,Koivukylä-Havukoski,Björkby-Havukoski,393284,6688247,5844793,092,12141
01370,Jokiniemi,Ånäs,393051,6686344,3261820,092,6468
01380,Kuusikko-Hakkila,Sexan-Håkansböle,393820,6685263,4424793,092,1924
01390,Ruskeasanta-Ilola,Rödsand-Gladas,390299,6689205,7098930,092,8957
01400,Rekola,Räckhals,393529,6690076,5626751,092,8266
01420,Päiväkumpu,Lövkulla,395707,6689171,3908448,092,3212
01450,Korso,Korso,393421,6692769,14409178,092,18357
01480,Mikkola,Mikkola,395460,6691017,3036738,092,6256
01510,Kirkonkylä-Veromäki,Kyrkoby-Skattbacka,387689,6685467,7660748,092,6113
01520,Tammisto,Rosendal,387303,6683862,2019024,092,7801
01530,Veromiehenkylä,Skattmansby,386786,6688413,17197512,092,524
01600,Myyrmäki,Myrbacka,381052,6682779,2774549,092,16018
01610,Kaivoksela,Gruvsta,382490,6682860,2775026,092,4703
01620,Martinlaakso,Mårtensdal,381071,6684544,3185037,092,11769
01630,Hämeenkylä,Tavastby,377586,6683215,2645689,092,2109
01640,Hämevaara,Tavastberga,378276,6681218,3107721,092,3312
01650,Vapaala,Friherrs,379763,6682603,2132777,092,4005
01660,Varisto,Varistorna,379264,6683483,1007947,092,2318
01670,Vantaanlaakso,Vandadalen,382418,6684868,2287549,092,2708
01680,Askisto,Askis,377611,6685667,6601075,092,2043
01690,Ylästö,Övitsböle,384848,6684329,6045929,092,4625
01700,Kivistö,Kivistö,380717,6689222,4932635,092,4601
01710,Pähkinärinne,Hasselbacken,378254,6682313,1234759,092,5070
01720,Petikko,Petikko,379273,6685012,4257140,092,67
01730,Vantaanpuisto,Vandaparken,381190,6686830,14286508,092,2452
01740,Tuupakan teollisuusalue,Stubbacka industriområde,383722,6686433,8136713,092,199
01750,Keimola,Käinby,378253,6691155,22469229,092,843
01760,Seutula,Sjöskog,382554,6693625,33787413,092,2117
01770,Martinlaakson teollisuusalue,Mårtensdals industriområde,381375,6685368,188347,092,0
02100,Tapiola,Hagalund,378711,6672696,1907447,049,4332
02110,Otsolahti,Björnviken,378958,6673150,878222,049,2730
02120,Länsikorkee-Suvikumpu,Västerhöjden-Solhöjden,377391,6672811,779919,049,2814
02130,Pohjois-Tapiola,Norra Hagalund,377682,6674526,2690918,049,5983
02140,Laajalahti,Bredvik,378239,6675892,2669594,049,3689
02150,Otaniemi,Otnäs,379792,6674050,2003315,049,3895
02160,Westend,Westend,378640,6670467,2065005,049,3194
02170,Haukilahti,Gäddvik,376534,6671246,1937461,049,5679
02180,Mankkaa,Mankans,376189,6675180,3425133,049,6786
02200,Niittykumpu,Ängskulla,376092,6673132,6470716,049,10728
02210,Olari,Olars,373735,6673196,3561775,049,11186
02230,Matinkylä,Mattby,376902,6667855,5973431,049,20397
